FitMethod,TemporalRes,sigmaC,q5Kt,q25Kt,q50Kt,q75Kt,q95Kt,q5Ve,q25Ve,q50Ve,q75Ve,q95Ve,q5Kep,q25Kep,q50Kep,q75Kep,q95Kep,q5Vp,q25Vp,q50Vp,q75Vp,q95Vp
RTM,13.000000,0.000000,3.203739,6.827808,26.442036,69.969710,233.300288,-4.910985,1.597531,6.572158,23.173273,68.879103,1.984508,4.636180,15.045428,37.542814,155.158382,NaN,NaN,NaN,NaN,NaN
CERRM,13.000000,0.000000,-35.783682,-5.553327,-0.215988,3.483375,23.874970,-20.749052,-2.453690,-0.081126,2.090979,15.750812,-27.782080,-2.696231,-0.053327,1.900799,16.770559,-50.691302,-31.465588,0.705800,36.153978,105.238834
ERRM,13.000000,0.000000,-45.784925,-6.929484,0.020005,6.617134,50.303698,-25.422083,-4.221907,-0.147463,3.332238,29.641963,-43.531659,-5.215049,-0.315630,5.158719,204.097988,-55.273455,-38.853757,-2.022671,42.108845,96.965725
TM,13.000000,0.000000,-28.793682,0.793907,38.641703,99.586366,285.640545,-4.962297,1.064648,7.799361,22.436718,87.020988,-28.064644,-4.562857,25.457690,65.803313,181.675171,NaN,NaN,NaN,NaN,NaN
RRM,13.000000,0.000000,-12.044597,6.625956,25.440231,78.565125,285.128914,-7.747918,2.528133,9.537319,25.038720,83.804660,-482.496982,-13.720919,8.597011,39.872826,478.442757,NaN,NaN,NaN,NaN,NaN
CRRM,13.000000,0.000000,2.691696,6.325792,25.697217,67.900947,217.229040,-5.609604,1.892416,6.490131,23.673500,55.946234,3.137864,6.019992,16.129374,38.259869,150.128658,NaN,NaN,NaN,NaN,NaN
ETM,14.000000,0.000000,-75.080518,-26.663112,-6.718279,9.871838,94.335315,-55.835032,-9.619147,-3.432094,1.494413,21.880061,-60.871320,-22.819631,-3.978876,16.695697,74.297671,-400.485398,-27.761905,10.438999,113.612669,982.026169
ERTM,14.000000,0.000000,-59.688778,-10.109935,0.390467,7.390744,40.621870,-43.215346,-4.220537,-0.137060,3.670078,31.322340,-54.358686,-6.892358,0.475450,3.639224,19.910714,-122.905813,-46.476205,1.354255,68.192200,133.131321
RTM,14.000000,0.000000,3.067806,6.764938,25.487010,68.539120,226.781444,-4.976937,1.600184,6.640375,23.015905,57.025926,1.570001,4.649286,14.353308,37.299017,150.871691,NaN,NaN,NaN,NaN,NaN
CERRM,14.000000,0.000000,-40.514574,-6.487139,-0.206653,4.251513,30.041097,-24.345783,-3.074881,-0.104824,2.535717,19.912972,-32.036598,-3.208995,-0.062825,2.329335,19.499877,-60.516944,-37.599299,0.514349,42.785895,118.626888
ERRM,14.000000,0.000000,-57.810318,-8.650408,-0.077098,7.564778,55.923759,-30.972031,-4.773355,-0.162785,3.961085,37.923320,-51.909675,-6.097186,-0.277197,6.708843,210.406604,-65.711274,-46.883845,-3.430916,50.368124,116.140082
TM,14.000000,0.000000,-36.109724,-2.629570,38.695855,104.950293,320.256559,-5.410787,0.981817,8.295481,22.751086,79.345228,-35.475534,-8.012615,25.084754,70.820273,203.106472,NaN,NaN,NaN,NaN,NaN
RRM,14.000000,0.000000,-24.529976,6.241144,23.655598,74.106006,261.047573,-10.006032,2.534709,9.448989,25.004323,83.061789,-482.772129,-14.718795,7.987277,36.990249,445.500000,NaN,NaN,NaN,NaN,NaN
